hand_id,handedness,object_label,object_source,object_conf,x1,y1,x2,y2,fingertips_inside,min_tip_dist_px,domain,video_stem,frame_id
0,Right,person,yolo,0.4687952995300293,0.21405029296875,411.7101745605469,572.9500732421875,1069.81494140625,5,0.0,shop,video_20260405_163219_edit,720
0,Right,person,yolo,0.4440045356750488,0.505096435546875,377.3388977050781,575.2981567382812,1070.0816650390625,5,0.0,shop,video_20260405_163219_edit,1440
0,Right,person,yolo,0.4830602705478668,149.7385711669922,334.73565673828125,611.453857421875,1067.267333984375,5,0.0,shop,video_20260405_163219_edit,1470
1,Left,person,yolo,0.2575452625751495,1001.7584838867188,577.69921875,1539.1279296875,1072.786865234375,5,0.0,shop,video_20260405_163219_edit,1470
1,Left,small_object_proposal,heuristic,1.0,1126.0,597.0,1177.0,628.0,0,23.600847442411894,shop,video_20260405_163219_edit,1470
1,Left,small_object_proposal,heuristic,1.0,1113.0,657.0,1152.0,688.0,1,0.0,shop,video_20260405_163219_edit,1470
0,Left,person,yolo,0.6332085728645325,868.3282470703125,247.726318359375,1667.3489990234375,1069.336669921875,5,0.0,shop,video_20260405_163219_edit,1530
0,Left,small_object_proposal,heuristic,1.0,897.0,191.0,955.0,263.0,0,22.135943621178654,shop,video_20260405_163219_edit,1530
0,Left,person,yolo,0.4644425511360168,1159.71728515625,413.3200378417969,1758.7474365234375,1073.0665283203125,5,0.0,shop,video_20260405_163219_edit,1650
1,Right,person,yolo,0.4964940249919891,532.2960815429688,653.9410400390625,784.7828979492188,1072.0697021484375,5,0.0,shop,video_20260405_163219_edit,1650
1,Right,suitcase,yolo,0.4879673719406128,438.2210998535156,184.1851501464844,967.1585083007812,739.3390502929688,5,0.0,shop,video_20260405_163219_edit,1650
0,Left,refrigerator,yolo,0.5919960141181946,23.7689208984375,0.0,1915.405517578125,1049.4661865234375,5,0.0,shop,video_20260405_163219_edit,1860
0,Left,person,yolo,0.436392992734909,1354.045654296875,694.8773193359375,1714.149658203125,1076.009521484375,5,0.0,shop,video_20260405_163219_edit,1860
1,Right,refrigerator,yolo,0.5919960141181946,23.7689208984375,0.0,1915.405517578125,1049.4661865234375,5,0.0,shop,video_20260405_163219_edit,1860
1,Right,person,yolo,0.4578751921653747,249.08331298828125,316.2600402832031,930.8096923828124,1067.4290771484375,5,0.0,shop,video_20260405_163219_edit,1860
0,Left,person,yolo,0.6444834470748901,1287.8587646484375,231.88009643554688,1789.1077880859375,1066.714111328125,5,0.0,shop,video_20260405_163219_edit,2580
0,Left,person,yolo,0.4140797555446625,87.129638671875,220.1220703125,1791.281982421875,1067.3594970703125,5,0.0,shop,video_20260405_163219_edit,2580
0,Left,small_object_proposal,heuristic,1.0,1397.0,227.0,1436.0,269.0,1,0.0,shop,video_20260405_163219_edit,2580
0,Left,small_object_proposal,heuristic,1.0,1300.0,348.0,1318.0,368.0,1,0.0,shop,video_20260405_163219_edit,2580
1,Right,person,yolo,0.4140797555446625,87.129638671875,220.1220703125,1791.281982421875,1067.3594970703125,5,0.0,shop,video_20260405_163219_edit,2580
1,Right,small_object_proposal,heuristic,1.0,554.0,522.0,576.0,542.0,1,0.0,shop,video_20260405_163219_edit,2580
0,Right,laptop,yolo,0.7411818504333496,516.7637329101562,65.9322509765625,1835.9678955078125,1028.6009521484375,4,0.0,shop,video_20260405_163219_edit,2640
0,Right,small_object_proposal,heuristic,1.0,501.0,806.0,542.0,817.0,0,19.924858845171276,shop,video_20260405_163219_edit,2640
0,Right,laptop,yolo,0.6516010761260986,534.0531005859375,16.336578369140625,1881.9537353515625,1011.4638671875,5,0.0,shop,video_20260405_163219_edit,2670
0,Left,person,yolo,0.5755621194839478,230.22235107421875,0.81536865234375,1845.0955810546875,1072.7149658203125,5,0.0,shop,video_20260405_163219_edit,2700
1,Left,person,yolo,0.6884520053863525,1662.6148681640625,494.5063781738281,1919.4071044921875,1071.5423583984375,5,0.0,shop,video_20260405_163219_edit,2700
1,Left,person,yolo,0.5755621194839478,230.22235107421875,0.81536865234375,1845.0955810546875,1072.7149658203125,5,0.0,shop,video_20260405_163219_edit,2700
1,Left,small_object_proposal,heuristic,1.0,1774.0,555.0,1797.0,583.0,1,0.0,shop,video_20260405_163219_edit,2700
0,Left,refrigerator,yolo,0.5841243267059326,7.4337158203125,4.1077880859375,1907.749267578125,1075.2978515625,5,0.0,shop,video_20260405_163219_edit,4110
0,Left,toothbrush,yolo,0.3302186131477356,848.0509643554688,168.40399169921875,1384.549072265625,831.1626586914062,5,0.0,shop,video_20260405_163219_edit,4110
0,Left,small_object_proposal,heuristic,1.0,1019.0,493.0,1065.0,562.0,1,0.0,shop,video_20260405_163219_edit,4110
0,Left,small_object_proposal,heuristic,1.0,1044.0,492.0,1072.0,535.0,1,0.0,shop,video_20260405_163219_edit,4110
0,Right,person,yolo,0.7445425987243652,585.9971313476562,175.9017333984375,1659.78515625,1067.2286376953125,5,0.0,shop,video_20260405_163219_edit,4200
0,Right,person,yolo,0.3760282397270202,591.5415649414062,631.5554809570312,967.4432373046876,1076.3587646484375,5,0.0,shop,video_20260405_163219_edit,4200
0,Right,refrigerator,yolo,0.2626979649066925,79.57305908203125,1.601348876953125,1916.3131103515625,1066.446533203125,5,0.0,shop,video_20260405_163219_edit,4200
0,Right,small_object_proposal,heuristic,1.0,836.0,588.0,869.0,628.0,0,14.0,shop,video_20260405_163219_edit,4200
1,Left,person,yolo,0.7445425987243652,585.9971313476562,175.9017333984375,1659.78515625,1067.2286376953125,5,0.0,shop,video_20260405_163219_edit,4200
1,Left,refrigerator,yolo,0.2626979649066925,79.57305908203125,1.601348876953125,1916.3131103515625,1066.446533203125,5,0.0,shop,video_20260405_163219_edit,4200
1,Left,small_object_proposal,heuristic,1.0,1278.0,560.0,1333.0,589.0,0,9.0,shop,video_20260405_163219_edit,4200
1,Left,small_object_proposal,heuristic,1.0,1237.0,550.0,1269.0,583.0,1,0.0,shop,video_20260405_163219_edit,4200
